group	numid	id	LocationText	Coordinates	Geolocation	LocationRelation	Precision	Certainty	url
Submission data	54	Thomas MacShane FitzMaurice		"52.57014569642131, -9.294740763174241"	Glin Castle	Residence	Castle		
Submission data	55	William Barrett		"54.120883056109335, -9.142255900242674"	Belleek Castle	Residence	Castle	Very certain	
Submission data	56	Maeduc Carragh Barrett		"54.120883056109335, -9.142255900242674"	Belleek Castle	Residence	Castle	Very certain	
Submission data	57	Bernardus O'Brien		"52.84795897344801, -8.972026293564303"	Clonroad More	Residence	Castle	Moderately certain	
Submission data	58	Richard Scrope		"52.408720821933144, -1.507126275731839"	Coventry Cathedral	Seat of authority	Cathedral	Very certain	
Submission data	59	William Arundel		"51.38989748942007, 0.5014839976535792"	Rochester Castle	Seat of authority	Castle	Very certain	
Submission data	60	John Melton		"53.23445090005561, -0.5359512293532843"	Lincoln Cathedral	Residence	Diocese	Very certain	
Submission data	61	Gerald O'Byrne		"53.07344505519419, -6.072130490017539"	Newcastle Middle	Locus of authority	Castle	Very certain	
Submission data	62	Donal O'Nolan		"52.81116230808195, -6.774609319527459"	Forth O'Nolan	Seat of authority	Castle	Moderately certain	
Submission data	63	Edmund Vale		"53.34298855012456, -6.300094260031192"	"Hospitaller House, Kilmainham"	Seat of authority	Religious house	Moderately certain	
Submission data	64	Malachy O'More							
Submission data	65	Lowyoge O'More							
Submission data	66	Shane O'More							
Submission data	67	Art Og MacMurrough		"52.590900115704486, -6.500068251353481"	Ferns Castle	Residence	Castle	Moderately certain	
Submission data	68	Murchadh O'Conor Faly		"53.21965782033275, -7.0021621740278945"	Rathangan	Residence	Castle	Moderately certain	
Submission data	69	David Mor MacManus		"52.51910142618689, -6.255631011397043"	Morriscastle	Seat of authority	Castle	Moderately certain	
Submission data	70	E. MacGerailt		"52.51910142618689, -6.255631011397043"	Morriscastle	Residence	Town	Very uncertain	
Submission data	71	Geoffrey O'Brenan		"52.80625387806498, -7.202831361169027"	Castlecomer	Locus of authority	Castle	Very uncertain	
Submission data	72	Finghin MacGillapatrick		"52.92378377374355, -7.513021134328597"	Aghaboe	Residence	Castle	Very certain	
Submission data	73	Henry Talon		"52.752326812047905, -6.911006646111915"	Nurney	Residence	Town	Moderately uncertain	
Submission data	74	Thomas Carragh Kavanagh MacMurrough		"52.590900115704486, -6.500068251353481"	Ferns Castle	Residence	Castle	Moderately certain	
Submission data	75	Shane O'Nolan		"52.81116230808195, -6.774609319527459"	Forth O'Nolan	Seat of authority	Castle	Moderately certain	
Submission data	76	Guy Lenfaunt		"53.1406068022979, -6.709805655994937"	Carnalway	Locus of authority	Castle	Very uncertain	
Submission data	77	Leynagh Fersson O'Conor of Hyrth							
Submission data	78	Felim O'Toole		"53.18463122519382, -6.1872523309723855"	Powerscourt	Residence	Castle	Moderately certain	
Submission data	79	Lawrence Berkerolle		"51.522118189614524, -3.5532030889493202"	Coity Castle	Residence	Castle	Very certain	
Submission data	80	John Greyly							
Submission data	81	Galfredo Vale							
Submission data	82	William Faryndon							
Submission data	83	Thomas Clinton		"52.64613756609573, -1.6602881697634575"	"Amington, Warwickshire"	Residence	Manor	Very certain	
Submission data	84	Nicholas Langford		"52.94211635775369, -1.68151073111044"	Longford Hall	Residence	Manor	Moderately certain	
Submission data	85	Thomas Ilketsale		"52.43010934544872, 1.4954321165131703"	"Ilketshall, Suffolk"	Residence	Town	Moderately certain	
Submission data	86	Thomas Pykworth							
Submission data	87	Alan Penynton							
Submission data	88	John Bracebridge		"52.56440782939598, -1.6855107351464125"	Kingsbury Hall	Residence	Manor	Moderately certain	
Submission data	89	Edward Perys							
Submission data	90	Walter Bitterly		"52.414060668199724, -2.551913023839098"	"Cleeton St Mary and Farlow, Shropshire"	Ownership	Manor	Very certain	
Submission data	91	William Drayton		"52.12027053565773, -0.49714784138783447"	Kempston Brucebury	Residence	Ownership	Moderately certain	
Submission data	92	John Drayton		"51.683181629926416, -1.2127198637672658"	Nuneham	Residence	Manor	Very certain	
Submission data	93	Robert Ley		"53.462108966185845, -1.8347426301840812"	Adlington Hall	Residence	Manor	Moderately cetain	
Submission data	94	David Wogan							
Submission data	95	James Butler		"52.65042963544829, -7.249515224539098"	Kilkenny Castle	Residence	Castle	Very certain	
Submission data	96	William de Burgo							
Submission data	97	Bernard O'Brien		"52.84795897344801, -8.972026293564303"	Clonroad More	Residence	Castle	Moderately certain	
Submission data	98	Dormicius O'Brien		"52.84795897344801, -8.972026293564303"	Clonroad More	Residence	Castle	Moderately certain	
Submission data	99	Odo O'Kennedy Finn		"52.865144995499804, -8.19816891618452"	Nenagh Castle	Residence	Castle	Moderately uncertain	
Submission data	100	Thomas O'Kennedy Don		"52.865144995499804, -8.19816891618452"	Nenagh Castle	Residence	Castle	Moderately uncertain	
Submission data	101	Gerald Tallon							
Submission data	102	Theobald FitzWalter Burke		"52.71213203579604, -8.503683679502876"	Castle Connell	Residence	Castle		
Submission data	103	David Gall Burke		"52.30933453171065, -7.113833917056847"	Gaulstown	Residence	Castle		
Submission data	105	Tadhg O'Carroll		"53.09741653963109, -7.9157475753839455"	Black Castle	Residence	Castle	Very certain	
Submission data	106	Tadhg O'Kelly of Hy Many							
Submission data	107	William O'Carroll		"53.09741653963109, -7.9157475753839455"	Black Castle	Residence	Castle	Very certain	
Submission data	108	Thomas Merke		"51.49942213076493, -0.12731618229189637"	Westminster Abbey	Residence	Religious house	Very certain	
Submission data	109	Cologh Magennis							
Submission data	110	John Faltagh							
Submission data	111	Adam MacGilmore							
Submission data	112	Philip MacMahon		"54.2403074168005, -6.975918985620835"	Rath Tulach		Townland	Moderately certain	
Submission data	113	Walter Teling							
Submission data	114	Odo MacMahon		"54.2403074168005, -6.975918985620835"	Rath Tulach		Townland	Moderately certain	
Submission data	115	Thomas MacCabe							
Submission data	116	Robert Shorthall		"52.722927527824325, -7.429464308400038"	Ballylarkin	Residence	Castle	Very certain	
Submission data	117	John Saykyn		"51.51196153384987, -0.08960020234082573"	"St. Swithin, London Stone"	Residence	Parish	Moderately certain	
Submission data	118	Walter Bermingham		"53.29989540496307, -8.74539918683801"	Athenry Castle	Residence	Castle	Very certain	
Submission data	119	John Boor		"51.49963332126371, -0.1257338312908437"	"St. Stephen's Chapel, Westminster"	Seat of authority	Church	Very certain	
Submission data	120	John Burghill		"51.49963332126371, -0.1257338312908437"	"St. Stephen's Chapel, Westminster"	Seat of authority	Church	Very certain	
Submission data	121	Tuathal O'Kelly of Leix							
Submission data	122	Philip O'Kelly of Leix							
Submission data	123	Murchadh Ban O'Farrell							
Submission data	124	Ross O'Farrell							
Submission data	125	Melaghlin Mageoghegan							
Submission data	126	Niall O'Molloy							
Submission data	127	John Bocombe		"53.781099569143734, -6.676733656357843"	Ricetown	Residence	Townland	Moderately certain	
Submission data	128	William Stormy							
Submission data	129	John Roche							
Submission data	130	Shane MacMahon		"54.2403074168005, -6.975918985620835"	Rath Tulach		Townland	Moderately certain	
Submission data	131	Hugh Luttrell		"51.24904081361839, 0.6298944235039807"	Leeds Castle	Seat of authority	Castle	Very certain	
Submission data	132	Dermot O'Conor							
Submission data	133	John Fitzgerald							
Submission data	134	Cormac O'Melaghlin							
Submission data	136	Gilpatrick Rua O'More							
Submission data	137	Richard Nelgan							
Submission data	139	Simon Vale							
Submission data	140	Niall Mor O'Neill		"54.5053072522902, -6.768650213215768"	Dungannon	Residence	Castle	Very certain	
