group	numid	id	LocationText	Coordinates	Geolocation	LocationRelation	Precision	Certainty	url
Marriage data	436	Walter Burke-3							
Marriage data	437	Tadhg O'Carroll-2							
Marriage data	438	d. Walter Burke							
Marriage data	439	Conor O'Brien-2							
Marriage data	440	Ragnailt Dub O'Brien							
Marriage data	441	Unknown O'Flaherty-1							
Marriage data	442	Ben Mide O'Conor							
Marriage data	443	Thomas Barrett							
Marriage data	444	Gormlaith O'Conor							
Marriage data	445	Donnell O'Conor							
Marriage data	446	Una Maguire							
Marriage data	447	Tadhg O'Rourke							
Marriage data	448	Aine O'Birn							
Marriage data	449	Cormac O'Birn							
Marriage data	450	Geoffrey MacRannell							
Marriage data	451	Joan MacCawell							
Marriage data	452	Unknown MacCawell-1							
Marriage data	453	Maurice Maguire							
Marriage data	454	Catherine MacMahon							
Marriage data	455	Ardghal MacMahon							
Marriage data	456	Eogan mac Niall Og O'Neill							
Marriage data	457	Grainne O'Neill							
Marriage data	459	Turlough an Fhiona O'Donnell							
Marriage data	460	Barrdubh O'Rourke							
Marriage data	461	Unknown O'Rourke-2							
Marriage data	462	Eogan O'Reilly							
Marriage data	463	Aine O'Rourke							
Marriage data	464	Unknown O'Farrell-5							
Marriage data	465	Una O'Reilly							
Marriage data	467	Mathgamain MacCabe							
Marriage data	468	d. O'Conor Faly-2							
Marriage data	469	Unknown O'Conor Faly-3							
Marriage data	470	Unknown O'Donnell-3							
Marriage data	471	Margaret O'Carroll							
Marriage data	472	Unknown O'Carroll-1							
Marriage data	473	Calvagh O'Conor Faly							
Marriage data	474	Ben Muman MacDermot							
Marriage data	475	Conor MacDermot							
Marriage data	476	Sean MacDonough							
Marriage data	477	Una O'Conor Don							
Marriage data	479	Brian MacDonough							
Marriage data	480	Lasarfina MacDonough							
Marriage data	481	Conor MacDonough							
Marriage data	482	Cosnamach O'Dowda							
Marriage data	483	d. MacDonough-2							
Marriage data	484	Teige MacDonough							
Marriage data	485	Conor mac Donnell MacDonough							
Marriage data	486	d. MacOwen							
Marriage data	487	Unknown MacOwen							
Marriage data	488	Unknown Maguire-1							
Marriage data	489	Mor Magauran							
Marriage data	490	Aedh Magauran							
Marriage data	491	Mac Brian MacManus							
Marriage data	492	Finola O'Doherty							
Marriage data	493	Unknown O'Doherty-2							
Marriage data	494	Unknown O'Donnell-4							
Marriage data	495	Catherine Maguire							
Marriage data	496	Donn mac Cu-Connacht Maguire							
Marriage data	497	MacManus Maguire							
Marriage data	498	Dubchablach Maguire							
Marriage data	499	Thomas Maguire							
Marriage data	500	Eogan MacCawell							
Marriage data	501	Finola O'Conor Faly							
Marriage data	502	Unknown O'Donnell-5							
Marriage data	503	Aedh Buidhe O'Neill							
Marriage data	504	Mor Maguire							
Marriage data	505	Aedh mac Philip Maguire							
Marriage data	506	Art mac Eogan O'Neill							
Marriage data	507	Seaan Burke							
Marriage data	508	Eileog Mac Costello							
Marriage data	509	John Mac Costello							
Marriage data	511	Anabla Burke							
Marriage data	512	Sir Redmond Burke							
Marriage data	513	d. Mac Wattin Barrett							
Marriage data	514	Unknown Mac Wattin Barrett-1							
Marriage data	513	Maolruanaidh O'Dowda-2							
Marriage data	514	Eudoin O'Conor							
Marriage data	515	Tadhg Riabhach O'Dowda							
Marriage data	516	Margaret Burke-2							
Marriage data	517	William mac Redmond Burke							
Marriage data	518	Teamhair O'Muirgheasa							
Marriage data	519	Unknown O'Muirgheasa-1							
Marriage data	520	Fionnghuala O'Conor							
Marriage data	521	Manus mac Cathal O'Conor							
Marriage data	522	d. O'Cathain							
Marriage data	523	Unknown O'Cathain-1							
Marriage data	524	Maebh O'Malley							
Marriage data	525	Aodh O'Dowda							
Marriage data	526	d. Robin Lawless							
Marriage data	527	Robin Lawless							
Marriage data	528	Brian O'Dowda							
Marriage data	529	Barrdubh O'Conor							
Marriage data	531	Honora Barrett							
Marriage data	532	Unknown Mac Wattin Barrett-2							
