group,numid,id,url
Marriage data,283,Unknown O'Conor-2,https://www.submissionstrategies.com
Marriage data,284,Duvcovla O'Conor Faly,https://www.submissionstrategies.com
Marriage data,285,Muirchertach O'Conor Faly,https://www.submissionstrategies.com
Marriage data,286,Donnell mac Theobald O'Molloy,https://www.submissionstrategies.com
Marriage data,287,Lasarina O'Duigennan,https://www.submissionstrategies.com
Marriage data,288,Farrell O'Duigennan,https://www.submissionstrategies.com
Marriage data,289,Unknown O'Meehin-1,https://www.submissionstrategies.com
Marriage data,290,Dubchablach MacDermot,https://www.submissionstrategies.com
Marriage data,291,Aedh MacDermot,https://www.submissionstrategies.com
Marriage data,292,Cathal Roe MacRannell,https://www.submissionstrategies.com
Marriage data,293,Lasairfina O'Conor,https://www.submissionstrategies.com
Marriage data,294,Turlough O'Conor-2,https://www.submissionstrategies.com
Marriage data,295,Unknown MacRannell-2,https://www.submissionstrategies.com
Marriage data,296,Raghnailt MacBrady,https://www.submissionstrategies.com
Marriage data,297,Unknown MacBrady-1,https://www.submissionstrategies.com
Marriage data,298,Unknown MacDarcy-1,https://www.submissionstrategies.com
Marriage data,299,Aine MacBrady,https://www.submissionstrategies.com
Marriage data,300,Matthew mac Conor O'Owen,https://www.submissionstrategies.com
Marriage data,301,More O'Madden,https://www.submissionstrategies.com
Marriage data,302,Murrough O'Madden,https://www.submissionstrategies.com
Marriage data,303,Richard Mac William Burke,https://www.submissionstrategies.com
Marriage data,304,Joanna Cam Butler,https://www.submissionstrategies.com
Marriage data,305,James Butler,https://www.submissionstrategies.com
Marriage data,306,Teige O'Carroll,https://www.submissionstrategies.com
Marriage data,307,d. O'Brien,https://www.submissionstrategies.com
Marriage data,308,Unknown O'Brien-1,https://www.submissionstrategies.com
Marriage data,309,Unknown O'Kennedy-1,https://www.submissionstrategies.com
Marriage data,310,Honora Burke,https://www.submissionstrategies.com
Marriage data,311,William Burke,https://www.submissionstrategies.com
Marriage data,312,Unknown O'Meagher-1,https://www.submissionstrategies.com
Marriage data,313,Lucy O'Tully,https://www.submissionstrategies.com
Marriage data,314,Unknown O'Tully-1,https://www.submissionstrategies.com
Marriage data,315,Maurice MacCraith,https://www.submissionstrategies.com
Marriage data,316,Dervorgilla O'Conor,https://www.submissionstrategies.com
Marriage data,317,Unknown O'Conor Roe-1,https://www.submissionstrategies.com
Marriage data,318,Beanmidhe MacMahon,https://www.submissionstrategies.com
Marriage data,319,Unknown MacMahon-1,https://www.submissionstrategies.com
Marriage data,320,Unknown O'Neill-1,https://www.submissionstrategies.com
Marriage data,321,Aine MacDonough,https://www.submissionstrategies.com
Marriage data,322,Unknown MacDonough-2,https://www.submissionstrategies.com
Marriage data,324,d. Mac William Burke,https://www.submissionstrategies.com
Marriage data,325,Unknown Mac William Burke-2,https://www.submissionstrategies.com
Marriage data,326,Unknown O'Farrell-4,https://www.submissionstrategies.com
Marriage data,327,Nualaith O'Farrell,https://www.submissionstrategies.com
Marriage data,329,Thomas mac Cathal O'Farrell,https://www.submissionstrategies.com
Marriage data,330,Sadhb O'Neill,https://www.submissionstrategies.com
Marriage data,331,Unknown Bisset-1,https://www.submissionstrategies.com
Marriage data,332,Affric O'Neill,https://www.submissionstrategies.com
Marriage data,333,Henry Aimreidh O'Neill,https://www.submissionstrategies.com
Marriage data,334,d. Butler,https://www.submissionstrategies.com
Marriage data,335,Gerald Fitzgerald,https://www.submissionstrategies.com
